student_id,race_ethnicity,sex,appalachian_residency,generation,age_at_entry,total_students,graduation_time,graduated,grad_in_4,grad_in_6
205,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
211,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
213,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
214,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
217,white,female,appalachian,first_gen,19,1,did_not_graduate,0,0,0
221,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
222,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
228,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
234,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
255,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
274,white,male,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
283,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
295,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
322,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
324,hispanic_latino,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
326,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
329,white,female,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
331,white,female,appalachian,first_gen,19,1,did_not_graduate,0,0,0
343,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
354,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
359,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
363,white,male,appalachian,first_gen,19,1,did_not_graduate,0,0,0
365,white,male,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
366,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
383,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
389,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
390,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
406,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
409,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
412,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
413,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
416,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
426,hispanic_latino,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
428,white,male,appalachian,first_gen,19,1,did_not_graduate,0,0,0
453,two_or_more_races,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
459,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
464,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
466,white,female,appalachian,non_first_gen,17,1,did_not_graduate,0,0,0
469,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
470,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
482,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
497,white,male,appalachian,first_gen,19,1,did_not_graduate,0,0,0
505,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
513,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
514,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
517,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
523,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
524,white,female,appalachian,first_gen,19,1,did_not_graduate,0,0,0
526,white,male,appalachian,first_gen,19,1,did_not_graduate,0,0,0
527,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
532,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
546,black_african_american,male,appalachian,first_gen,19,1,did_not_graduate,0,0,0
554,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
559,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
568,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
580,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
602,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
608,white,male,appalachian,first_gen,17,1,did_not_graduate,0,0,0
609,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
610,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
627,white,male,appalachian,non_first_gen,17,1,did_not_graduate,0,0,0
638,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
643,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
646,white,male,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
659,two_or_more_races,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
662,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
667,white,male,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
670,white,male,appalachian,non_first_gen,17,1,did_not_graduate,0,0,0
675,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
695,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
703,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
715,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
724,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
732,white,female,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
743,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
758,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
768,white,female,appalachian,non_first_gen,17,1,did_not_graduate,0,0,0
769,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
771,white,female,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
774,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
778,two_or_more_races,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
782,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
783,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
785,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
788,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
791,white,male,appalachian,gen_unknown,19,1,did_not_graduate,0,0,0
799,two_or_more_races,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
807,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
811,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
821,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
830,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
840,two_or_more_races,male,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
843,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
845,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
846,white,male,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
850,asian,male,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
856,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
870,white,male,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
878,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
881,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
885,two_or_more_races,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
888,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
891,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
893,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
894,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
898,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
905,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
909,white,female,appalachian,first_gen,19,1,did_not_graduate,0,0,0
912,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
918,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
921,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
928,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
947,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
952,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
953,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
955,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
958,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
967,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
981,white,male,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
987,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
994,white,female,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
1004,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1007,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1009,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1021,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1025,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1027,white,male,appalachian,first_gen,20,1,did_not_graduate,0,0,0
1032,two_or_more_races,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1036,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1037,white,female,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
1041,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1042,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1049,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1053,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1058,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1065,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1069,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1070,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1071,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1081,black_african_american,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1082,white,male,appalachian,first_gen,19,1,did_not_graduate,0,0,0
1083,white,male,appalachian,first_gen,19,1,did_not_graduate,0,0,0
1086,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1087,white,female,appalachian,gen_unknown,19,1,did_not_graduate,0,0,0
1097,white,male,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
1098,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1107,white,male,appalachian,first_gen,17,1,did_not_graduate,0,0,0
1127,white,female,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
1131,white,male,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
1132,white,male,appalachian,first_gen,19,1,did_not_graduate,0,0,0
1135,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1140,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1141,white,female,appalachian,first_gen,19,1,did_not_graduate,0,0,0
1154,white,male,appalachian,first_gen,19,1,did_not_graduate,0,0,0
1163,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1164,white,female,appalachian,first_gen,19,1,did_not_graduate,0,0,0
1170,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1184,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1186,two_or_more_races,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1188,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1193,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1209,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1219,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1228,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1229,white,male,appalachian,first_gen,19,1,did_not_graduate,0,0,0
1243,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1244,white,male,appalachian,first_gen,17,1,did_not_graduate,0,0,0
1245,race_unknown,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1250,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1251,two_or_more_races,male,appalachian,gen_unknown,19,1,did_not_graduate,0,0,0
1260,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1262,two_or_more_races,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1265,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1266,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1268,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1273,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1276,white,female,appalachian,first_gen,20,1,did_not_graduate,0,0,0
1280,white,female,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
1285,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1287,white,female,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
1289,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1290,white,male,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
1292,two_or_more_races,male,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
1296,two_or_more_races,female,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
1302,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1310,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1312,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1314,white,male,appalachian,first_gen,19,1,did_not_graduate,0,0,0
1318,white,female,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
1323,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1326,white,female,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
1334,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1335,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1338,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1340,two_or_more_races,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1341,white,male,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
1346,white,male,appalachian,first_gen,21,1,did_not_graduate,0,0,0
1349,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1351,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1352,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1356,white,female,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
1359,white,male,appalachian,non_first_gen,17,1,did_not_graduate,0,0,0
1360,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1362,hispanic_latino,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1367,two_or_more_races,male,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
1368,white,female,appalachian,first_gen,19,1,did_not_graduate,0,0,0
1369,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1370,white,male,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
1373,hispanic_latino,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1376,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1381,white,female,appalachian,non_first_gen,17,1,did_not_graduate,0,0,0
1384,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1389,black_african_american,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1390,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1395,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1397,black_african_american,female,appalachian,first_gen,17,1,did_not_graduate,0,0,0
1399,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1401,hispanic_latino,male,appalachian,gen_unknown,20,1,did_not_graduate,0,0,0
1405,hispanic_latino,male,appalachian,non_first_gen,20,1,did_not_graduate,0,0,0
1406,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1409,white,male,appalachian,first_gen,27,1,did_not_graduate,0,0,0
1411,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1413,white,male,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
1414,white,male,appalachian,first_gen,19,1,did_not_graduate,0,0,0
1420,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1422,white,male,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
1423,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1425,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1433,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1434,two_or_more_races,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1436,white,male,appalachian,non_first_gen,17,1,did_not_graduate,0,0,0
1437,white,female,appalachian,first_gen,20,1,did_not_graduate,0,0,0
1438,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1439,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1440,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1442,white,male,appalachian,first_gen,19,1,did_not_graduate,0,0,0
1444,white,male,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
1448,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1457,white,female,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
1458,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1459,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1466,white,female,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
1469,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1478,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1480,white,male,appalachian,gen_unknown,19,1,did_not_graduate,0,0,0
1482,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1483,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1489,white,female,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
1501,white,male,appalachian,first_gen,19,1,did_not_graduate,0,0,0
1505,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1508,hispanic_latino,male,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
1519,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1521,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1523,white,female,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
1526,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1532,white,male,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
1535,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1541,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1546,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1554,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1556,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1563,white,male,appalachian,first_gen,19,1,did_not_graduate,0,0,0
1566,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1568,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1570,white,male,appalachian,first_gen,19,1,did_not_graduate,0,0,0
1579,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1585,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1587,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1616,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1624,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1625,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1630,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1632,white,male,appalachian,non_first_gen,34,1,did_not_graduate,0,0,0
1644,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1660,white,male,appalachian,gen_unknown,19,1,did_not_graduate,0,0,0
1662,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1665,white,male,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
1680,race_unknown,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1685,two_or_more_races,male,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
1689,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1697,white,female,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
1707,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1726,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1739,hispanic_latino,male,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
1740,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1754,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1757,white,female,appalachian,non_first_gen,17,1,did_not_graduate,0,0,0
1759,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1764,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1765,white,male,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
1768,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1770,white,female,appalachian,non_first_gen,17,1,did_not_graduate,0,0,0
1776,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1783,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1785,white,male,appalachian,gen_unknown,19,1,did_not_graduate,0,0,0
1792,two_or_more_races,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1794,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1802,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1803,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1804,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1811,white,female,appalachian,non_first_gen,17,1,did_not_graduate,0,0,0
1816,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1817,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1826,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1831,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1839,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1848,white,male,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
1850,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1854,white,male,appalachian,non_first_gen,20,1,did_not_graduate,0,0,0
1864,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1874,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1875,white,male,appalachian,first_gen,17,1,did_not_graduate,0,0,0
1876,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1890,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1892,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1897,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1903,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1907,white,male,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
1914,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
1920,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1926,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
1928,white,male,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
1930,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
