StudentID	Race_Ethnicity	Sex	appalachian_residency	generation	pell_elligibility	age_at_entry	graduated
196	black_african_american	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
197	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
198	two_or_more_races	Female	non_appalachian	first_gen	non_pell_elligible	18	0
199	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
200	White	Female	non_appalachian	first_gen	non_pell_elligible	18	1
201	White	Female	appalachian	non_first_gen	pell_elligible	18	0
202	White	Male	appalachian	non_first_gen	non_pell_elligible	19	0
203	White	Male	appalachian	non_first_gen	non_pell_elligible	18	1
204	White	Female	appalachian	non_first_gen	non_pell_elligible	18	1
205	two_or_more_races	Male	appalachian	first_gen	non_pell_elligible	18	1
206	White	Female	appalachian	non_first_gen	non_pell_elligible	18	1
207	White	Male	appalachian	first_gen	non_pell_elligible	18	1
208	White	Female	appalachian	non_first_gen	pell_elligible	19	1
209	White	Male	appalachian	non_first_gen	non_pell_elligible	18	1
210	White	Female	appalachian	first_gen	non_pell_elligible	18	1
211	White	Male	appalachian	first_gen	non_pell_elligible	19	0
212	White	Female	appalachian	non_first_gen	non_pell_elligible	19	1
213	White	Female	appalachian	gen_unknown	non_pell_elligible	18	1
214	White	Male	appalachian	non_first_gen	non_pell_elligible	18	0
215	White	Female	appalachian	non_first_gen	non_pell_elligible	18	0
216	White	Male	appalachian	non_first_gen	non_pell_elligible	18	1
217	White	Female	appalachian	non_first_gen	pell_elligible	18	1
218	White	Male	appalachian	non_first_gen	non_pell_elligible	18	1
219	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
220	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
221	two_or_more_races	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
222	White	Male	appalachian	non_first_gen	pell_elligible	19	1
223	White	Female	appalachian	non_first_gen	pell_elligible	18	1
224	White	Male	appalachian	gen_unknown	non_pell_elligible	18	0
225	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
226	two_or_more_races	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
227	hispanic_latino	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
228	White	Male	appalachian	gen_unknown	non_pell_elligible	18	1
229	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
230	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
231	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	0
232	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
233	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
234	White	Female	non_appalachian	first_gen	non_pell_elligible	18	1
235	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	0
236	White	Female	appalachian	non_first_gen	non_pell_elligible	18	1
237	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	0
238	White	Female	non_appalachian	first_gen	non_pell_elligible	18	1
239	White	Male	appalachian	non_first_gen	pell_elligible	18	1
240	White	Female	non_appalachian	first_gen	non_pell_elligible	18	1
241	White	Male	appalachian	gen_unknown	pell_elligible	34	0
242	White	Female	appalachian	first_gen	pell_elligible	18	0
243	hispanic_latino	Male	appalachian	non_first_gen	non_pell_elligible	18	1
244	hispanic_latino	Male	appalachian	non_first_gen	non_pell_elligible	19	1
245	nonresident_alien	Male	non_appalachian	non_first_gen	non_pell_elligible	23	1
246	nonresident_alien	Female	non_appalachian	gen_unknown	non_pell_elligible	18	1
247	hispanic_latino	Female	appalachian	gen_unknown	non_pell_elligible	19	1
248	White	Female	non_appalachian	non_first_gen	pell_elligible	18	1
249	White	Male	non_appalachian	first_gen	pell_elligible	19	0
250	White	Male	non_appalachian	first_gen	non_pell_elligible	18	1
251	White	Male	non_appalachian	first_gen	non_pell_elligible	19	1
252	White	Female	non_appalachian	non_first_gen	non_pell_elligible	19	1
253	White	Female	appalachian	non_first_gen	non_pell_elligible	18	1
254	White	Male	appalachian	non_first_gen	non_pell_elligible	18	1
255	White	Male	appalachian	first_gen	pell_elligible	32	0
256	White	Male	non_appalachian	first_gen	non_pell_elligible	18	1
257	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	0
258	White	Female	appalachian	first_gen	pell_elligible	18	1
259	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
260	White	Female	non_appalachian	first_gen	non_pell_elligible	18	1
261	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
262	White	Female	non_appalachian	first_gen	non_pell_elligible	18	1
263	White	Female	appalachian	non_first_gen	non_pell_elligible	18	1
264	White	Male	appalachian	non_first_gen	non_pell_elligible	18	1
265	White	Female	non_appalachian	first_gen	pell_elligible	18	1
266	White	Female	non_appalachian	first_gen	non_pell_elligible	18	1
267	White	Female	non_appalachian	first_gen	non_pell_elligible	18	1
268	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
269	two_or_more_races	Female	non_appalachian	first_gen	pell_elligible	18	1
270	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	0
271	White	Female	appalachian	non_first_gen	pell_elligible	18	1
272	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
273	black_african_american	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
274	White	Female	non_appalachian	gen_unknown	non_pell_elligible	18	1
275	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
276	White	Male	non_appalachian	non_first_gen	non_pell_elligible	17	1
277	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
278	White	Female	non_appalachian	non_first_gen	pell_elligible	19	1
279	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
280	White	Female	appalachian	gen_unknown	pell_elligible	18	0
281	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
282	White	Female	appalachian	non_first_gen	non_pell_elligible	18	1
283	White	Female	appalachian	non_first_gen	non_pell_elligible	19	1
284	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
285	White	Male	appalachian	non_first_gen	non_pell_elligible	18	1
286	White	Male	appalachian	non_first_gen	non_pell_elligible	19	1
287	White	Male	non_appalachian	gen_unknown	non_pell_elligible	18	1
288	White	Female	non_appalachian	first_gen	non_pell_elligible	18	1
289	White	Female	appalachian	gen_unknown	non_pell_elligible	18	0
290	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
291	White	Female	non_appalachian	first_gen	non_pell_elligible	18	1
292	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
293	White	Female	non_appalachian	non_first_gen	pell_elligible	18	0
294	White	Female	appalachian	non_first_gen	non_pell_elligible	19	1
295	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
296	White	Male	non_appalachian	non_first_gen	non_pell_elligible	19	1
297	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
298	White	Female	non_appalachian	first_gen	pell_elligible	18	1
299	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	0
300	White	Male	non_appalachian	gen_unknown	pell_elligible	18	1
301	White	Female	non_appalachian	non_first_gen	non_pell_elligible	17	1
302	White	Female	non_appalachian	non_first_gen	pell_elligible	18	1
303	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
304	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
305	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	0
306	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
307	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
308	White	Female	non_appalachian	non_first_gen	pell_elligible	18	0
309	White	Female	appalachian	first_gen	non_pell_elligible	18	1
310	White	Female	non_appalachian	non_first_gen	non_pell_elligible	19	1
311	White	Male	appalachian	non_first_gen	non_pell_elligible	18	0
312	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
313	White	Female	non_appalachian	gen_unknown	non_pell_elligible	19	0
314	White	Female	appalachian	first_gen	pell_elligible	18	1
315	White	Female	non_appalachian	gen_unknown	non_pell_elligible	19	0
316	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	0
317	White	Female	non_appalachian	gen_unknown	non_pell_elligible	18	1
318	White	Female	appalachian	non_first_gen	non_pell_elligible	18	1
319	White	Female	non_appalachian	first_gen	pell_elligible	18	1
320	black_african_american	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
321	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
322	White	Male	appalachian	non_first_gen	non_pell_elligible	19	0
323	nonresident_alien	Male	non_appalachian	gen_unknown	non_pell_elligible	20	0
324	White	Female	appalachian	first_gen	non_pell_elligible	18	0
325	White	Female	non_appalachian	non_first_gen	non_pell_elligible	17	1
326	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
327	White	Male	non_appalachian	first_gen	non_pell_elligible	18	1
328	White	Female	non_appalachian	gen_unknown	non_pell_elligible	18	1
329	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	0
330	White	Male	appalachian	gen_unknown	non_pell_elligible	19	0
331	White	Female	non_appalachian	non_first_gen	non_pell_elligible	19	1
332	White	Male	non_appalachian	first_gen	non_pell_elligible	18	1
333	White	Female	non_appalachian	gen_unknown	non_pell_elligible	18	1
334	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
335	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
336	White	Female	appalachian	first_gen	pell_elligible	19	0
337	White	Female	non_appalachian	first_gen	non_pell_elligible	18	1
338	White	Female	appalachian	gen_unknown	pell_elligible	18	0
339	White	Male	non_appalachian	first_gen	non_pell_elligible	18	1
340	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
341	White	Male	appalachian	non_first_gen	pell_elligible	18	0
342	White	Female	non_appalachian	first_gen	pell_elligible	18	1
343	White	Male	appalachian	non_first_gen	non_pell_elligible	19	1
344	White	Male	non_appalachian	non_first_gen	non_pell_elligible	17	1
345	White	Female	non_appalachian	non_first_gen	non_pell_elligible	19	1
346	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
347	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
348	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
349	White	Female	non_appalachian	gen_unknown	non_pell_elligible	18	1
350	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
351	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
352	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
353	black_african_american	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
354	White	Female	appalachian	first_gen	non_pell_elligible	18	1
355	White	Female	appalachian	non_first_gen	non_pell_elligible	18	0
356	White	Female	non_appalachian	first_gen	non_pell_elligible	18	1
357	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
358	White	Male	appalachian	first_gen	pell_elligible	19	0
359	two_or_more_races	Male	non_appalachian	non_first_gen	non_pell_elligible	18	0
360	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	0
361	White	Male	appalachian	non_first_gen	pell_elligible	18	1
362	White	Female	non_appalachian	non_first_gen	pell_elligible	18	0
363	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
364	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
365	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
366	White	Female	non_appalachian	non_first_gen	non_pell_elligible	17	1
367	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
368	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
369	black_african_american	Female	non_appalachian	gen_unknown	pell_elligible	18	1
370	White	Female	non_appalachian	gen_unknown	non_pell_elligible	17	1
371	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
372	Asian	Female	non_appalachian	non_first_gen	pell_elligible	18	1
373	two_or_more_races	Female	appalachian	first_gen	pell_elligible	18	0
374	White	Female	appalachian	first_gen	pell_elligible	18	0
375	White	Female	appalachian	non_first_gen	pell_elligible	18	1
376	White	Male	non_appalachian	first_gen	pell_elligible	18	1
377	White	Male	appalachian	non_first_gen	non_pell_elligible	19	1
378	White	Female	appalachian	gen_unknown	non_pell_elligible	18	1
379	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
380	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
381	White	Female	appalachian	first_gen	pell_elligible	18	0
382	White	Female	non_appalachian	gen_unknown	pell_elligible	18	1
383	White	Male	non_appalachian	non_first_gen	pell_elligible	19	0
384	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
385	White	Male	non_appalachian	first_gen	pell_elligible	18	1
386	White	Female	non_appalachian	gen_unknown	non_pell_elligible	18	0
387	White	Female	non_appalachian	non_first_gen	non_pell_elligible	17	1
388	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	0
389	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	0
390	White	Male	non_appalachian	first_gen	non_pell_elligible	18	1
391	White	Female	non_appalachian	first_gen	pell_elligible	18	1
392	White	Female	appalachian	non_first_gen	non_pell_elligible	18	1
393	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
394	White	Male	non_appalachian	non_first_gen	pell_elligible	18	1
395	White	Male	non_appalachian	gen_unknown	non_pell_elligible	18	1
396	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	0
397	White	Male	appalachian	gen_unknown	pell_elligible	18	0
398	White	Female	non_appalachian	gen_unknown	non_pell_elligible	18	0
399	White	Male	appalachian	first_gen	pell_elligible	18	1
400	White	Male	appalachian	non_first_gen	non_pell_elligible	18	1
401	White	Female	appalachian	non_first_gen	non_pell_elligible	18	1
402	White	Male	non_appalachian	gen_unknown	non_pell_elligible	18	1
403	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
404	White	Male	non_appalachian	first_gen	pell_elligible	18	1
405	White	Male	non_appalachian	non_first_gen	non_pell_elligible	19	1
406	White	Male	appalachian	non_first_gen	non_pell_elligible	18	1
407	White	Female	non_appalachian	gen_unknown	non_pell_elligible	18	1
408	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
409	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
410	White	Female	non_appalachian	gen_unknown	non_pell_elligible	19	1
411	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
412	White	Male	non_appalachian	gen_unknown	non_pell_elligible	18	0
413	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	0
414	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
415	hispanic_latino	Female	non_appalachian	non_first_gen	pell_elligible	23	0
416	White	Female	non_appalachian	first_gen	pell_elligible	18	0
417	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	0
418	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	0
419	nonresident_alien	Male	non_appalachian	gen_unknown	non_pell_elligible	20	0
420	White	Male	non_appalachian	non_first_gen	pell_elligible	20	0
421	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
422	White	Male	appalachian	non_first_gen	pell_elligible	18	0
423	White	Male	appalachian	non_first_gen	pell_elligible	19	0
